,t,V,X,S,P,G,Gfed,Gcon,r_V,q_V,r_X,q_X,r_S,q_S,r_P,q_P,r_G,q_G,r_Gfed,q_Gfed,r_Gcon,q_Gcon
19,0.23515251843897847,0.5011490143835484,1.2517772657124604,29.936499255814525,0.12892818110278115,0.27285063174884233,2.8700504951424195,2.5971998633935764,0.004886251659577567,0.003903451351464282,1.1322212407240073,0.9044909759401912,-0.2855575191229036,-0.22812166904179712,1.7150298159130424,1.3700758616485318,0.002061809291124206,0.0016471055575136271,12.205059567342914,9.750184718681796,12.202997758051765,9.748537613124263
20,0.248707116411535,0.5012152455603867,1.265704286003513,29.93298672202692,0.183280629317895,0.27285063174884233,3.0354851708088577,2.7626345390600147,0.004886251659570462,0.0038605002081480663,1.0274757185163281,0.8117818118168846,-0.2591396509669721,-0.20473949075831196,4.0098900996664835,3.168109758344734,0.0,0.0,12.205059567342914,9.642899769171706,12.205059567342914,9.642899769171706
21,0.26226171438409157,0.5012814767372249,1.2787603204481535,29.92969385957964,0.2566419347401254,0.27285063174884233,3.2009198464752964,2.9280692147264533,0.004886251659577567,0.0038210848283634067,0.9632181250284617,0.7532436764153684,-0.2429332433134732,-0.18997558762875516,5.412281911330904,4.232444364112048,0.0,0.0,12.205059567342943,9.544446580157857,12.205059567342943,9.544446580157857
22,0.2758163123566481,0.5013477079140631,1.2912018697169163,29.926555976438564,0.3433852417135173,0.27285063174884233,3.3663545221417346,3.0935038903928915,0.004886251659570462,0.0037842662515983855,0.9178840489369549,0.7108757123610673,-0.2314995359824934,-0.17928996341466533,6.399548488934727,4.9562726317440715,0.0,0.0,12.205059567342914,9.452479781506788,12.205059567342914,9.452479781506788
23,0.2893709103292047,0.5014139390909014,1.3031729798706655,29.923536742746684,0.44034948525430334,0.27285063174884233,3.5317891978081737,3.2589385660593306,0.004886251659570462,0.0037495035080111943,0.8831770723105592,0.6777128485262263,-0.22274608940779217,-0.17092595752706505,7.153605273804896,5.489375074761649,0.0,0.0,12.205059567342914,9.365648118758736,12.205059567342943,9.365648118758758
24,0.30292550830176124,0.5014801702677395,1.3147656877619223,29.92061294588943,0.54551414077912,0.27285063174884233,3.697223873474612,3.424373241725769,0.0048862516595633565,0.0037164429411609035,0.8552601792194849,0.6505038785088492,-0.2157051698009127,-0.16406358319869127,7.758596436260184,5.9011248228323945,0.0,0.0,12.205059567342914,9.28306821584243,12.205059567342943,9.283068215842453
25,0.3164801062743178,0.5015464014445777,1.326043668240727,29.91776852643287,0.6574807230298536,0.27285063174884233,3.86265854914105,3.589807917392207,0.004886251659570462,0.0036848346525820614,0.8320409429802993,0.6274611937057659,-0.20984904622901013,-0.15825198766449267,8.26041336507567,6.229367526059551,0.0,0.0,12.205059567342971,9.204115867115842,12.205059567342943,9.20411586711582
26,0.33003470424687437,0.501612632621416,1.3370535060064508,29.914991735249977,0.7752256144090613,0.27285063174884233,4.028093224807489,3.755242593058646,0.004886251659577567,0.00365449223806455,0.8122585257058148,0.6074988936919148,-0.2048597227681057,-0.15321729597791978,8.686712185606737,6.496906927496458,0.0,0.0,12.205059567342971,9.128325465296738,12.205059567342914,9.128325465296696
27,0.3435893022194309,0.5016788638031181,1.3478306628167847,29.91227362853084,0.8979692097871481,0.27285064119178826,4.193527912623209,3.92067727143142,0.004886252018408754,0.003625271447822047,0.7950923245495005,0.5899052058126238,-0.2005302351744831,-0.1487799919578932,9.055495089312195,6.718570321280145,6.966599777058491e-07,5.168750028656593e-07,12.205060463664665,9.05533669797787,12.205059767004741,9.055336181102906
28,0.3495085719805947,0.5017191892707578,1.3554931834597668,29.91034106419947,0.9012204677887258,0.2947644030875519,4.294254352625393,3.9994899495378418,0.006812574737551813,0.005025901141135485,1.294504381816779,0.9550061908188134,-0.32648695013813267,-0.24086211138650357,0.549266739439588,0.40521541985009263,3.702105627883249,2.7311871967028107,17.01670038136274,12.553881191736604,13.314594753479582,9.82269399503386
29,0.3554278417417585,0.5017595148431178,1.363199293813907,29.908397506107054,0.9044890753208472,0.3162303101886219,4.394981054201946,4.078750744013324,0.0068125924289859086,0.0049975029035746465,1.3018684170638437,0.9550096034905695,-0.3283442334677602,-0.2408629720964212,0.5521977649281382,0.4050748613456367,3.6264451473232953,2.6602457643426187,17.016744571672916,12.482947026816685,13.390299424349678,9.822701262474109
30,0.3613471115029223,0.5017998404154778,1.3709492142787503,29.906442898666615,0.9077755980348295,0.33724561069024356,4.495707755778331,4.158462145088088,0.006812592428971698,0.004969252221757732,1.3092696865566609,0.9550096188249112,-0.3302109076466877,-0.24086297596400028,0.5552243514132726,0.4049926471604373,3.550319777534476,2.5896800118903616,17.016744571644836,12.412381432084821,13.466424794110367,9.822701420194466
