t,V,G,X,S,P,r_V,r_G,r_X,r_S,r_P,q_G,q_X,q_S,q_P,q_M
1.9929898832895248,0.5129805112166315,0.7923270430163742,2.9447045067763304,29.50831931478779,23.927130109609916,0.009747668147505443,-1.6069327482752853,1.595746051109633,-0.4032234613184117,19.0170935679165,-8.814133172223762,0.5419036264906306,-0.13693172283276564,6.458065154776125,9.185312820923723
2.0444938403634536,0.5135815743625223,0.9379951892729376,3.028053948555614,29.48726394253194,24.897720338714574,0.0116701551436833,2.4604730788445344,1.6409134158925134,-0.41452038632023236,19.108160718196213,-8.814133172260092,0.5419036264971513,-0.13689332930904852,6.310376579011227,10.90388808941187
2.2072270784835304,0.5154806885461269,1.141247060136294,3.307204833936625,29.416746064046265,28.14838544233516,0.011670155143794603,5.713454662787503e-13,1.792186293009848,-0.45273428039513824,20.869707927538368,-8.814133172260092,0.5419036264971513,-0.13689332930904852,6.310376579011227,10.90388808941187
2.325166323624443,0.5168570618131725,1.0289575650217304,3.525478237893948,29.361606789256292,30.69014251514121,0.011670155143464882,-1.9238908503943801,1.9104694421736228,-0.4826144533588572,22.24709530387269,-8.814133172260092,0.5419036264971513,-0.13689332930904852,6.310376579011227,10.90388808941187
2.3766714456815365,0.5175766886997485,1.2033634730406215,3.6252686865585173,29.336404663045382,31.820625495134205,0.01397185555822155,2.9458150122768183,1.9645462482183156,-0.4961471078063441,22.255497673072117,-8.814133172302407,0.5419036265047525,-0.13685802370246655,6.138992608911064,12.875972100909523
2.539408364712624,0.5198504159055163,1.4467134904537138,3.9594836291701863,29.251998517186884,35.606802522489915,0.013971855558332368,5.314046285390916e-13,2.1456585376379276,-0.5418871043395667,24.307240735715943,-8.814133172302407,0.5419036265047525,-0.13685802370246655,6.138992608911064,12.875972100909523
2.657350277556036,0.5214982880391225,1.3122710295816267,4.220813118555422,29.1859996278919,38.567291666254626,0.01397185555800363,-2.303392921229049,2.287273935637289,-0.5776521417884165,25.911540539674153,-8.814133172302407,0.5419036265047525,-0.13685802370246655,6.138992608911064,12.875972100909523
2.7088572608524712,0.5223598826667518,1.5210908320666354,4.340289752039502,29.155832847245097,39.87738891691483,0.01672761386146279,3.526958823735907,2.352018756637365,-0.5938636856353551,25.790593673305317,-8.814133172350685,0.5419036265134286,-0.13682581569246627,5.942136388595812,15.12051806461666
2.8716000607036385,0.5250821699821971,1.812459090645754,4.74043787266224,29.05479902808696,44.26513351097489,0.016727613861573,5.104579769630796e-13,2.568860474327512,-0.6486142786327266,28.168328381791493,-8.814133172350685,0.5419036265134286,-0.13682581569246627,5.942136388595812,15.12051806461666
2.989546235611083,0.5270551337547936,1.6514879209795752,5.053322718149799,28.975798404899958,47.696010025451415,0.01672761386124555,-2.7578086956571917,2.7384139067638906,-0.6914250028306321,30.027532807688377,-8.814133172350685,0.5419036265134286,-0.13682581569246627,5.942136388595812,15.12051806461666
3.041056545222148,0.5280867429270533,1.9015285004056157,5.196374190031467,28.939685965694267,49.205519555120254,0.020027104388106738,4.222905680885281,2.815934018198555,-0.7108647307253173,29.714334154753267,-8.814133172404876,0.5419036265231699,-0.13680014270869736,5.718282222817416,17.650729355373787
